,Teachings,Period,Professor,Course,Anno,Sede,CAMPUS,PDS_COD,room_size,Partition,k,grappolo,qualifica,k,Course_ID
100,LINGUA CINESE 1 MOD. 2_LT40_D-L,II Semestre,6218430,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,D-L,3,Obbligatorio,Ricercatrice,,LT40_SCI2
101,LINGUA CINESE 2 MOD.2_LT40_D-L,II Semestre,6218430,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,D-L,3,a scelta,Ricercatrice,,LT40_C2
102,LINGUA CINESE 1 MOD.2_LM40,II Semestre,6218430,LM40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),LISIC,5,NO,3,Obbligatorio,Ricercatrice,,LM40_LISIC1
103,LINGUA CINESE 1 MOD. 1_LT40_A-C,I Semestre,22646413,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,A-C,3,Obbligatorio,Professore Associato,,LT40_SCI2
104,LINGUA CINESE 1 MOD.1_FM10,I Semestre,22646413,FM10,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),O,7,NO,3,Obbligatorio,Professore Associato,,FM10_O3
105,LINGUA CINESE 1 MOD.1_LM20,I Semestre,22646413,LM20,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,7,NO,3,Obbligatorio,Professore Associato,,LM20_C1
106,LINGUISTICA CINESE_LM20,I Semestre,22646413,LM20,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,5,NO,3,a scelta,Professore Associato,,LM20_C1
107,LINGUA CINESE AVANZATA PER LA GESTIONE AZIENDALE 1 MOD. 1_LM9,I Semestre,22646413,LM9,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),GGG,5,NO,3,Obbligatorio,Professore Associato,,LM9_GGG1
108,"ARTI, SPETTACOLO, COMUNICAZIONE (GIAPPONE)_LM20",II Semestre,5590636,LM20,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,NO,3,a scelta,Professoressa Associata,,LM20_G1
109,STORIA DELL'ARTE GIAPPONESE 2_LT40,II Semestre,5590636,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,7,NO,3,a scelta,Professoressa Associata,,LT40_G2
110,STORIA DELL'ARTE GIAPPONESE 1_LT40_A-L,II Semestre,5590636,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,7,A-L,3,Obbligatorio,Professoressa Associata,,LT40_G1
111,STORIA DELL'ARTE GIAPPONESE 1_LT40_M-Z,II Semestre,5590636,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,7,M-Z,3,Obbligatorio,Professoressa Associata,,LT40_G1
112,LINGUA CINESE 2 MOD.2_LT40_S-Z,II Semestre,5591113,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,S-Z,3,a scelta,Docente a contratto,,LT40_C2
113,LINGUA CINESE 2 MOD.2_LT40_Tutti,II Semestre,5591113,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,3,a scelta,Docente a contratto,,LT40_SEA2
